Toll Date,Detection Group,CRZ Entries
2025-01-16,Holland Tunnel,37952
2025-01-16,Hugh L. Carey Tunnel,21682
2025-01-16,Lincoln Tunnel,46833
2025-01-16,Manhattan Bridge,29911
2025-01-16,Queens Midtown Tunnel,43804
2025-01-16,Queensboro Bridge,40343
2025-01-16,West 60th St,41983
2025-01-16,West Side Highway at 60th St,44371
2025-01-16,Williamsburg Bridge,41341
2025-01-17,Brooklyn Bridge,29770
2025-01-17,East 60th St,78514
2025-01-17,FDR Drive at 60th St,54533
2025-01-17,Holland Tunnel,39356
2025-01-17,Hugh L. Carey Tunnel,22060
2025-01-17,Lincoln Tunnel,44093
2025-01-17,Manhattan Bridge,30594
2025-01-17,Queens Midtown Tunnel,45458
2025-01-17,Queensboro Bridge,38874
2025-01-17,West 60th St,39875
2025-01-17,West Side Highway at 60th St,43348
2025-01-17,Williamsburg Bridge,41972
2025-01-18,Brooklyn Bridge,28577
2025-01-18,East 60th St,72062
2025-01-18,FDR Drive at 60th St,49179
2025-01-18,Holland Tunnel,40005
2025-01-18,Hugh L. Carey Tunnel,17383
2025-01-18,Lincoln Tunnel,42472
2025-01-18,Manhattan Bridge,30498
2025-01-18,Queens Midtown Tunnel,35798
2025-01-18,Queensboro Bridge,31476
2025-01-18,West 60th St,37222
2025-01-18,West Side Highway at 60th St,38766
2025-01-18,Williamsburg Bridge,41333
2025-01-19,Brooklyn Bridge,22497
2025-01-19,East 60th St,57869
2025-01-19,FDR Drive at 60th St,35778
2025-01-19,Holland Tunnel,29746
2025-01-19,Hugh L. Carey Tunnel,11352
2025-01-19,Lincoln Tunnel,29167
2025-01-19,Manhattan Bridge,22875
2025-01-19,Queens Midtown Tunnel,27619
2025-01-19,Queensboro Bridge,23364
2025-01-19,West 60th St,29749
2025-01-19,West Side Highway at 60th St,26970
2025-01-19,Williamsburg Bridge,35697
2025-01-20,Brooklyn Bridge,21335
2025-01-20,East 60th St,60386
2025-01-20,FDR Drive at 60th St,38053
2025-01-20,Holland Tunnel,34289
2025-01-20,Hugh L. Carey Tunnel,13473
2025-01-20,Lincoln Tunnel,34520
2025-01-20,Manhattan Bridge,19318
2025-01-20,Queens Midtown Tunnel,34884
2025-01-20,Queensboro Bridge,26270
2025-01-20,West 60th St,28950
2025-01-20,West Side Highway at 60th St,29862
2025-01-20,Williamsburg Bridge,34234
2025-01-21,Brooklyn Bridge,28544
2025-01-21,East 60th St,79397
2025-01-21,FDR Drive at 60th St,51186
2025-01-21,Holland Tunnel,37899
2025-01-21,Hugh L. Carey Tunnel,20730
2025-01-21,Lincoln Tunnel,44366
2025-01-21,Manhattan Bridge,27744
2025-01-21,Queens Midtown Tunnel,41256
2025-01-21,Queensboro Bridge,34623
2025-01-21,West 60th St,40536
2025-01-21,West Side Highway at 60th St,43160
2025-01-21,Williamsburg Bridge,38070
2025-01-22,Brooklyn Bridge,30636
2025-01-22,East 60th St,82010
2025-01-22,FDR Drive at 60th St,51930
2025-01-22,Holland Tunnel,38094
2025-01-22,Hugh L. Carey Tunnel,21422
2025-01-22,Lincoln Tunnel,44863
2025-01-22,Manhattan Bridge,27125
2025-01-22,Queens Midtown Tunnel,40496
2025-01-22,Queensboro Bridge,35665
2025-01-22,West 60th St,41804
2025-01-22,West Side Highway at 60th St,45083
2025-01-22,Williamsburg Bridge,38754
2025-01-23,Brooklyn Bridge,32045
2025-01-23,East 60th St,82463
2025-01-23,FDR Drive at 60th St,54353
2025-01-23,Holland Tunnel,41007
