Toll Date,Detection Group,Vehicle Class,CRZ Entries
2025-01-06,FDR Drive at 60th St,3 - Multi-Unit Trucks,5
2025-01-06,FDR Drive at 60th St,4 - Buses,592
2025-01-06,FDR Drive at 60th St,5 - Motorcycles,90
2025-01-06,FDR Drive at 60th St,TLC Taxi/FHV,14059
2025-01-06,Holland Tunnel,"1 - Cars, Pickups and Vans",24766
2025-01-06,Holland Tunnel,2 - Single-Unit Trucks,1455
2025-01-06,Holland Tunnel,3 - Multi-Unit Trucks,168
2025-01-06,Holland Tunnel,4 - Buses,108
2025-01-06,Holland Tunnel,5 - Motorcycles,11
2025-01-06,Holland Tunnel,TLC Taxi/FHV,6720
2025-01-06,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",12377
2025-01-06,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,839
2025-01-06,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,15
2025-01-06,Hugh L. Carey Tunnel,4 - Buses,1474
2025-01-06,Hugh L. Carey Tunnel,5 - Motorcycles,15
2025-01-06,Hugh L. Carey Tunnel,TLC Taxi/FHV,3271
2025-01-06,Lincoln Tunnel,"1 - Cars, Pickups and Vans",27797
2025-01-06,Lincoln Tunnel,2 - Single-Unit Trucks,3463
2025-01-06,Lincoln Tunnel,3 - Multi-Unit Trucks,705
2025-01-06,Lincoln Tunnel,4 - Buses,1640
2025-01-06,Lincoln Tunnel,5 - Motorcycles,110
2025-01-06,Lincoln Tunnel,TLC Taxi/FHV,5267
2025-01-06,Manhattan Bridge,"1 - Cars, Pickups and Vans",15140
2025-01-06,Manhattan Bridge,2 - Single-Unit Trucks,2034
2025-01-06,Manhattan Bridge,3 - Multi-Unit Trucks,288
2025-01-06,Manhattan Bridge,4 - Buses,476
2025-01-06,Manhattan Bridge,5 - Motorcycles,48
2025-01-06,Manhattan Bridge,TLC Taxi/FHV,6416
2025-01-06,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",18412
2025-01-06,Queens Midtown Tunnel,2 - Single-Unit Trucks,3178
2025-01-06,Queens Midtown Tunnel,3 - Multi-Unit Trucks,78
2025-01-06,Queens Midtown Tunnel,4 - Buses,846
2025-01-06,Queens Midtown Tunnel,5 - Motorcycles,12
2025-01-06,Queens Midtown Tunnel,TLC Taxi/FHV,13983
2025-01-06,Queensboro Bridge,"1 - Cars, Pickups and Vans",17654
2025-01-06,Queensboro Bridge,2 - Single-Unit Trucks,2517
2025-01-06,Queensboro Bridge,3 - Multi-Unit Trucks,354
2025-01-06,Queensboro Bridge,4 - Buses,383
2025-01-06,Queensboro Bridge,5 - Motorcycles,116
2025-01-06,Queensboro Bridge,TLC Taxi/FHV,12683
2025-01-06,West 60th St,"1 - Cars, Pickups and Vans",11810
2025-01-06,West 60th St,2 - Single-Unit Trucks,2391
2025-01-06,West 60th St,3 - Multi-Unit Trucks,255
2025-01-06,West 60th St,4 - Buses,1147
2025-01-06,West 60th St,5 - Motorcycles,296
2025-01-06,West 60th St,TLC Taxi/FHV,18713
2025-01-06,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",27907
2025-01-06,West Side Highway at 60th St,2 - Single-Unit Trucks,409
2025-01-06,West Side Highway at 60th St,3 - Multi-Unit Trucks,12
2025-01-06,West Side Highway at 60th St,4 - Buses,646
2025-01-06,West Side Highway at 60th St,5 - Motorcycles,38
2025-01-06,West Side Highway at 60th St,TLC Taxi/FHV,8025
2025-01-06,Williamsburg Bridge,"1 - Cars, Pickups and Vans",22323
2025-01-06,Williamsburg Bridge,2 - Single-Unit Trucks,2163
2025-01-06,Williamsburg Bridge,3 - Multi-Unit Trucks,174
2025-01-06,Williamsburg Bridge,4 - Buses,248
2025-01-06,Williamsburg Bridge,5 - Motorcycles,47
2025-01-06,Williamsburg Bridge,TLC Taxi/FHV,11358
2025-01-07,Brooklyn Bridge,"1 - Cars, Pickups and Vans",18117
2025-01-07,Brooklyn Bridge,2 - Single-Unit Trucks,294
2025-01-07,Brooklyn Bridge,3 - Multi-Unit Trucks,4
2025-01-07,Brooklyn Bridge,4 - Buses,98
2025-01-07,Brooklyn Bridge,5 - Motorcycles,29
2025-01-07,Brooklyn Bridge,TLC Taxi/FHV,9816
2025-01-07,East 60th St,"1 - Cars, Pickups and Vans",31394
2025-01-07,East 60th St,2 - Single-Unit Trucks,4182
2025-01-07,East 60th St,3 - Multi-Unit Trucks,392
2025-01-07,East 60th St,4 - Buses,2250
2025-01-07,East 60th St,5 - Motorcycles,530
2025-01-07,East 60th St,TLC Taxi/FHV,37487
2025-01-07,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",34305
2025-01-07,FDR Drive at 60th St,2 - Single-Unit Trucks,610
2025-01-07,FDR Drive at 60th St,3 - Multi-Unit Trucks,6
2025-01-07,FDR Drive at 60th St,4 - Buses,622
2025-01-07,FDR Drive at 60th St,5 - Motorcycles,114
2025-01-07,FDR Drive at 60th St,TLC Taxi/FHV,16647
2025-01-07,Holland Tunnel,"1 - Cars, Pickups and Vans",25828
2025-01-07,Holland Tunnel,2 - Single-Unit Trucks,1648
2025-01-07,Holland Tunnel,3 - Multi-Unit Trucks,166
2025-01-07,Holland Tunnel,4 - Buses,122
2025-01-07,Holland Tunnel,5 - Motorcycles,4
2025-01-07,Holland Tunnel,TLC Taxi/FHV,7137
2025-01-07,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",14130
2025-01-07,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,873
2025-01-07,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,43
2025-01-07,Hugh L. Carey Tunnel,4 - Buses,1439
2025-01-07,Hugh L. Carey Tunnel,5 - Motorcycles,13
2025-01-07,Hugh L. Carey Tunnel,TLC Taxi/FHV,3765
2025-01-07,Lincoln Tunnel,"1 - Cars, Pickups and Vans",30527
2025-01-07,Lincoln Tunnel,2 - Single-Unit Trucks,3631
2025-01-07,Lincoln Tunnel,3 - Multi-Unit Trucks,682
2025-01-07,Lincoln Tunnel,4 - Buses,1754
2025-01-07,Lincoln Tunnel,5 - Motorcycles,132
2025-01-07,Lincoln Tunnel,TLC Taxi/FHV,5869
2025-01-07,Manhattan Bridge,"1 - Cars, Pickups and Vans",14899
2025-01-07,Manhattan Bridge,2 - Single-Unit Trucks,2187
2025-01-07,Manhattan Bridge,3 - Multi-Unit Trucks,332
2025-01-07,Manhattan Bridge,4 - Buses,476
2025-01-07,Manhattan Bridge,5 - Motorcycles,63
2025-01-07,Manhattan Bridge,TLC Taxi/FHV,7299
2025-01-07,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",20752
2025-01-07,Queens Midtown Tunnel,2 - Single-Unit Trucks,3191
2025-01-07,Queens Midtown Tunnel,3 - Multi-Unit Trucks,98
2025-01-07,Queens Midtown Tunnel,4 - Buses,880
2025-01-07,Queens Midtown Tunnel,5 - Motorcycles,18
2025-01-07,Queens Midtown Tunnel,TLC Taxi/FHV,14038
2025-01-07,Queensboro Bridge,"1 - Cars, Pickups and Vans",18124
2025-01-07,Queensboro Bridge,2 - Single-Unit Trucks,2581
2025-01-07,Queensboro Bridge,3 - Multi-Unit Trucks,326
2025-01-07,Queensboro Bridge,4 - Buses,400
2025-01-07,Queensboro Bridge,5 - Motorcycles,105
2025-01-07,Queensboro Bridge,TLC Taxi/FHV,12620
2025-01-07,West 60th St,"1 - Cars, Pickups and Vans",12813
2025-01-07,West 60th St,2 - Single-Unit Trucks,2642
2025-01-07,West 60th St,3 - Multi-Unit Trucks,227
2025-01-07,West 60th St,4 - Buses,1168
2025-01-07,West 60th St,5 - Motorcycles,343
2025-01-07,West 60th St,TLC Taxi/FHV,21533
2025-01-07,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",31085
2025-01-07,West Side Highway at 60th St,2 - Single-Unit Trucks,409
2025-01-07,West Side Highway at 60th St,3 - Multi-Unit Trucks,10
2025-01-07,West Side Highway at 60th St,4 - Buses,690
2025-01-07,West Side Highway at 60th St,5 - Motorcycles,37
2025-01-07,West Side Highway at 60th St,TLC Taxi/FHV,9219
2025-01-07,Williamsburg Bridge,"1 - Cars, Pickups and Vans",22244
2025-01-07,Williamsburg Bridge,2 - Single-Unit Trucks,2223
2025-01-07,Williamsburg Bridge,3 - Multi-Unit Trucks,212
2025-01-07,Williamsburg Bridge,4 - Buses,249
2025-01-07,Williamsburg Bridge,5 - Motorcycles,57
2025-01-07,Williamsburg Bridge,TLC Taxi/FHV,11717
2025-01-08,Brooklyn Bridge,"1 - Cars, Pickups and Vans",17000
2025-01-08,Brooklyn Bridge,2 - Single-Unit Trucks,240
2025-01-08,Brooklyn Bridge,3 - Multi-Unit Trucks,3
2025-01-08,Brooklyn Bridge,4 - Buses,102
2025-01-08,Brooklyn Bridge,5 - Motorcycles,33
2025-01-08,Brooklyn Bridge,TLC Taxi/FHV,10155
2025-01-08,East 60th St,"1 - Cars, Pickups and Vans",31890
2025-01-08,East 60th St,2 - Single-Unit Trucks,4118
2025-01-08,East 60th St,3 - Multi-Unit Trucks,359
2025-01-08,East 60th St,4 - Buses,2225
2025-01-08,East 60th St,5 - Motorcycles,534
2025-01-08,East 60th St,TLC Taxi/FHV,39330
2025-01-08,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",32820
2025-01-08,FDR Drive at 60th St,2 - Single-Unit Trucks,587
2025-01-08,FDR Drive at 60th St,3 - Multi-Unit Trucks,8
2025-01-08,FDR Drive at 60th St,4 - Buses,658
2025-01-08,FDR Drive at 60th St,5 - Motorcycles,93
2025-01-08,FDR Drive at 60th St,TLC Taxi/FHV,17329
2025-01-08,Holland Tunnel,"1 - Cars, Pickups and Vans",25740
2025-01-08,Holland Tunnel,2 - Single-Unit Trucks,1597
2025-01-08,Holland Tunnel,3 - Multi-Unit Trucks,185
2025-01-08,Holland Tunnel,4 - Buses,115
2025-01-08,Holland Tunnel,5 - Motorcycles,15
2025-01-08,Holland Tunnel,TLC Taxi/FHV,7451
2025-01-08,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",14375
2025-01-08,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,739
2025-01-08,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,18
2025-01-08,Hugh L. Carey Tunnel,4 - Buses,1529
2025-01-08,Hugh L. Carey Tunnel,5 - Motorcycles,18
2025-01-08,Hugh L. Carey Tunnel,TLC Taxi/FHV,4078
2025-01-08,Lincoln Tunnel,"1 - Cars, Pickups and Vans",30870
2025-01-08,Lincoln Tunnel,2 - Single-Unit Trucks,3578
2025-01-08,Lincoln Tunnel,3 - Multi-Unit Trucks,681
2025-01-08,Lincoln Tunnel,4 - Buses,1770
2025-01-08,Lincoln Tunnel,5 - Motorcycles,131
2025-01-08,Lincoln Tunnel,TLC Taxi/FHV,6107
2025-01-08,Manhattan Bridge,"1 - Cars, Pickups and Vans",15208
2025-01-08,Manhattan Bridge,2 - Single-Unit Trucks,2192
2025-01-08,Manhattan Bridge,3 - Multi-Unit Trucks,336
2025-01-08,Manhattan Bridge,4 - Buses,528
2025-01-08,Manhattan Bridge,5 - Motorcycles,62
2025-01-08,Manhattan Bridge,TLC Taxi/FHV,8221
2025-01-08,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",22126
2025-01-08,Queens Midtown Tunnel,2 - Single-Unit Trucks,2408
2025-01-08,Queens Midtown Tunnel,3 - Multi-Unit Trucks,109
2025-01-08,Queens Midtown Tunnel,4 - Buses,1077
2025-01-08,Queens Midtown Tunnel,5 - Motorcycles,24
2025-01-08,Queens Midtown Tunnel,TLC Taxi/FHV,13721
2025-01-08,Queensboro Bridge,"1 - Cars, Pickups and Vans",19517
2025-01-08,Queensboro Bridge,2 - Single-Unit Trucks,2509
2025-01-08,Queensboro Bridge,3 - Multi-Unit Trucks,328
2025-01-08,Queensboro Bridge,4 - Buses,404
2025-01-08,Queensboro Bridge,5 - Motorcycles,98
2025-01-08,Queensboro Bridge,TLC Taxi/FHV,14107
2025-01-08,West 60th St,"1 - Cars, Pickups and Vans",12860
2025-01-08,West 60th St,2 - Single-Unit Trucks,2564
2025-01-08,West 60th St,3 - Multi-Unit Trucks,225
2025-01-08,West 60th St,4 - Buses,1150
2025-01-08,West 60th St,5 - Motorcycles,332
2025-01-08,West 60th St,TLC Taxi/FHV,22407
2025-01-08,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",32014
2025-01-08,West Side Highway at 60th St,2 - Single-Unit Trucks,387
2025-01-08,West Side Highway at 60th St,3 - Multi-Unit Trucks,6
2025-01-08,West Side Highway at 60th St,4 - Buses,726
2025-01-08,West Side Highway at 60th St,5 - Motorcycles,43
2025-01-08,West Side Highway at 60th St,TLC Taxi/FHV,9489
2025-01-08,Williamsburg Bridge,"1 - Cars, Pickups and Vans",22253
2025-01-08,Williamsburg Bridge,2 - Single-Unit Trucks,2209
2025-01-08,Williamsburg Bridge,3 - Multi-Unit Trucks,222
2025-01-08,Williamsburg Bridge,4 - Buses,278
2025-01-08,Williamsburg Bridge,5 - Motorcycles,47
2025-01-08,Williamsburg Bridge,TLC Taxi/FHV,12718
2025-01-09,Brooklyn Bridge,"1 - Cars, Pickups and Vans",16841
2025-01-09,Brooklyn Bridge,2 - Single-Unit Trucks,245
2025-01-09,Brooklyn Bridge,3 - Multi-Unit Trucks,1
2025-01-09,Brooklyn Bridge,4 - Buses,90
2025-01-09,Brooklyn Bridge,5 - Motorcycles,36
2025-01-09,Brooklyn Bridge,TLC Taxi/FHV,11085
2025-01-09,East 60th St,"1 - Cars, Pickups and Vans",32173
2025-01-09,East 60th St,2 - Single-Unit Trucks,4164
2025-01-09,East 60th St,3 - Multi-Unit Trucks,389
2025-01-09,East 60th St,4 - Buses,2215
2025-01-09,East 60th St,5 - Motorcycles,566
2025-01-09,East 60th St,TLC Taxi/FHV,41395
