Toll Date,Detection Group,Vehicle Class,CRZ Entries
2025-01-25,Queensboro Bridge,4 - Buses,268
2025-01-25,Queensboro Bridge,5 - Motorcycles,93
2025-01-25,Queensboro Bridge,TLC Taxi/FHV,14661
2025-01-25,West 60th St,"1 - Cars, Pickups and Vans",13639
2025-01-25,West 60th St,2 - Single-Unit Trucks,1088
2025-01-25,West 60th St,3 - Multi-Unit Trucks,112
2025-01-25,West 60th St,4 - Buses,877
2025-01-25,West 60th St,5 - Motorcycles,369
2025-01-25,West 60th St,TLC Taxi/FHV,24634
2025-01-25,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",30558
2025-01-25,West Side Highway at 60th St,2 - Single-Unit Trucks,284
2025-01-25,West Side Highway at 60th St,3 - Multi-Unit Trucks,8
2025-01-25,West Side Highway at 60th St,4 - Buses,135
2025-01-25,West Side Highway at 60th St,5 - Motorcycles,59
2025-01-25,West Side Highway at 60th St,TLC Taxi/FHV,11580
2025-01-25,Williamsburg Bridge,"1 - Cars, Pickups and Vans",23463
2025-01-25,Williamsburg Bridge,2 - Single-Unit Trucks,988
2025-01-25,Williamsburg Bridge,3 - Multi-Unit Trucks,105
2025-01-25,Williamsburg Bridge,4 - Buses,95
2025-01-25,Williamsburg Bridge,5 - Motorcycles,77
2025-01-25,Williamsburg Bridge,TLC Taxi/FHV,17944
2025-01-26,Brooklyn Bridge,"1 - Cars, Pickups and Vans",17740
2025-01-26,Brooklyn Bridge,2 - Single-Unit Trucks,154
2025-01-26,Brooklyn Bridge,3 - Multi-Unit Trucks,1
2025-01-26,Brooklyn Bridge,4 - Buses,7
2025-01-26,Brooklyn Bridge,5 - Motorcycles,33
2025-01-26,Brooklyn Bridge,TLC Taxi/FHV,11634
2025-01-26,East 60th St,"1 - Cars, Pickups and Vans",26546
2025-01-26,East 60th St,2 - Single-Unit Trucks,801
2025-01-26,East 60th St,3 - Multi-Unit Trucks,115
2025-01-26,East 60th St,4 - Buses,1153
2025-01-26,East 60th St,5 - Motorcycles,574
2025-01-26,East 60th St,TLC Taxi/FHV,37199
2025-01-26,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",28685
2025-01-26,FDR Drive at 60th St,2 - Single-Unit Trucks,215
2025-01-26,FDR Drive at 60th St,3 - Multi-Unit Trucks,5
2025-01-26,FDR Drive at 60th St,4 - Buses,45
2025-01-26,FDR Drive at 60th St,5 - Motorcycles,114
2025-01-26,FDR Drive at 60th St,TLC Taxi/FHV,16400
2025-01-26,Holland Tunnel,"1 - Cars, Pickups and Vans",27320
2025-01-26,Holland Tunnel,2 - Single-Unit Trucks,374
2025-01-26,Holland Tunnel,3 - Multi-Unit Trucks,28
2025-01-26,Holland Tunnel,4 - Buses,69
2025-01-26,Holland Tunnel,5 - Motorcycles,15
2025-01-26,Holland Tunnel,TLC Taxi/FHV,10689
2025-01-26,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",10204
2025-01-26,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,132
2025-01-26,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,6
2025-01-26,Hugh L. Carey Tunnel,4 - Buses,256
2025-01-26,Hugh L. Carey Tunnel,5 - Motorcycles,9
2025-01-26,Hugh L. Carey Tunnel,TLC Taxi/FHV,3170
2025-01-26,Lincoln Tunnel,"1 - Cars, Pickups and Vans",30487
2025-01-26,Lincoln Tunnel,2 - Single-Unit Trucks,753
2025-01-26,Lincoln Tunnel,3 - Multi-Unit Trucks,189
2025-01-26,Lincoln Tunnel,4 - Buses,855
2025-01-26,Lincoln Tunnel,5 - Motorcycles,121
2025-01-26,Lincoln Tunnel,TLC Taxi/FHV,6591
2025-01-26,Manhattan Bridge,"1 - Cars, Pickups and Vans",15519
2025-01-26,Manhattan Bridge,2 - Single-Unit Trucks,442
2025-01-26,Manhattan Bridge,3 - Multi-Unit Trucks,87
2025-01-26,Manhattan Bridge,4 - Buses,143
2025-01-26,Manhattan Bridge,5 - Motorcycles,64
2025-01-26,Manhattan Bridge,TLC Taxi/FHV,10140
2025-01-26,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",18325
2025-01-26,Queens Midtown Tunnel,2 - Single-Unit Trucks,463
2025-01-26,Queens Midtown Tunnel,3 - Multi-Unit Trucks,27
2025-01-26,Queens Midtown Tunnel,4 - Buses,249
2025-01-26,Queens Midtown Tunnel,5 - Motorcycles,25
2025-01-26,Queens Midtown Tunnel,TLC Taxi/FHV,16034
2025-01-26,Queensboro Bridge,"1 - Cars, Pickups and Vans",14205
2025-01-26,Queensboro Bridge,2 - Single-Unit Trucks,531
2025-01-26,Queensboro Bridge,3 - Multi-Unit Trucks,66
2025-01-26,Queensboro Bridge,4 - Buses,217
2025-01-26,Queensboro Bridge,5 - Motorcycles,71
2025-01-26,Queensboro Bridge,TLC Taxi/FHV,14316
2025-01-26,West 60th St,"1 - Cars, Pickups and Vans",11309
2025-01-26,West 60th St,2 - Single-Unit Trucks,488
2025-01-26,West 60th St,3 - Multi-Unit Trucks,66
2025-01-26,West 60th St,4 - Buses,726
2025-01-26,West 60th St,5 - Motorcycles,352
2025-01-26,West 60th St,TLC Taxi/FHV,19871
2025-01-26,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",24670
2025-01-26,West Side Highway at 60th St,2 - Single-Unit Trucks,149
2025-01-26,West Side Highway at 60th St,3 - Multi-Unit Trucks,8
2025-01-26,West Side Highway at 60th St,4 - Buses,119
2025-01-26,West Side Highway at 60th St,5 - Motorcycles,40
2025-01-26,West Side Highway at 60th St,TLC Taxi/FHV,9502
2025-01-26,Williamsburg Bridge,"1 - Cars, Pickups and Vans",22282
2025-01-26,Williamsburg Bridge,2 - Single-Unit Trucks,408
2025-01-26,Williamsburg Bridge,3 - Multi-Unit Trucks,33
2025-01-26,Williamsburg Bridge,4 - Buses,82
2025-01-26,Williamsburg Bridge,5 - Motorcycles,54
2025-01-26,Williamsburg Bridge,TLC Taxi/FHV,18334
2025-01-27,Brooklyn Bridge,"1 - Cars, Pickups and Vans",17760
2025-01-27,Brooklyn Bridge,2 - Single-Unit Trucks,317
2025-01-27,Brooklyn Bridge,3 - Multi-Unit Trucks,3
2025-01-27,Brooklyn Bridge,4 - Buses,103
2025-01-27,Brooklyn Bridge,5 - Motorcycles,41
2025-01-27,Brooklyn Bridge,TLC Taxi/FHV,10411
2025-01-27,East 60th St,"1 - Cars, Pickups and Vans",30174
2025-01-27,East 60th St,2 - Single-Unit Trucks,4242
2025-01-27,East 60th St,3 - Multi-Unit Trucks,398
2025-01-27,East 60th St,4 - Buses,2214
2025-01-27,East 60th St,5 - Motorcycles,508
2025-01-27,East 60th St,TLC Taxi/FHV,37993
2025-01-27,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",32258
2025-01-27,FDR Drive at 60th St,2 - Single-Unit Trucks,610
2025-01-27,FDR Drive at 60th St,3 - Multi-Unit Trucks,4
2025-01-27,FDR Drive at 60th St,4 - Buses,615
2025-01-27,FDR Drive at 60th St,5 - Motorcycles,113
2025-01-27,FDR Drive at 60th St,TLC Taxi/FHV,16308
2025-01-27,Holland Tunnel,"1 - Cars, Pickups and Vans",26924
2025-01-27,Holland Tunnel,2 - Single-Unit Trucks,1663
2025-01-27,Holland Tunnel,3 - Multi-Unit Trucks,181
2025-01-27,Holland Tunnel,4 - Buses,137
2025-01-27,Holland Tunnel,5 - Motorcycles,10
2025-01-27,Holland Tunnel,TLC Taxi/FHV,8026
2025-01-27,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",13522
2025-01-27,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,815
2025-01-27,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,34
2025-01-27,Hugh L. Carey Tunnel,4 - Buses,1476
2025-01-27,Hugh L. Carey Tunnel,5 - Motorcycles,16
2025-01-27,Hugh L. Carey Tunnel,TLC Taxi/FHV,4108
2025-01-27,Lincoln Tunnel,"1 - Cars, Pickups and Vans",29773
2025-01-27,Lincoln Tunnel,2 - Single-Unit Trucks,3458
2025-01-27,Lincoln Tunnel,3 - Multi-Unit Trucks,682
2025-01-27,Lincoln Tunnel,4 - Buses,1901
2025-01-27,Lincoln Tunnel,5 - Motorcycles,137
2025-01-27,Lincoln Tunnel,TLC Taxi/FHV,6124
2025-01-27,Manhattan Bridge,"1 - Cars, Pickups and Vans",15726
2025-01-27,Manhattan Bridge,2 - Single-Unit Trucks,2129
2025-01-27,Manhattan Bridge,3 - Multi-Unit Trucks,292
2025-01-27,Manhattan Bridge,4 - Buses,540
2025-01-27,Manhattan Bridge,5 - Motorcycles,66
2025-01-27,Manhattan Bridge,TLC Taxi/FHV,7701
2025-01-27,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",21255
2025-01-27,Queens Midtown Tunnel,2 - Single-Unit Trucks,2420
2025-01-27,Queens Midtown Tunnel,3 - Multi-Unit Trucks,118
2025-01-27,Queens Midtown Tunnel,4 - Buses,1041
2025-01-27,Queens Midtown Tunnel,5 - Motorcycles,29
2025-01-27,Queens Midtown Tunnel,TLC Taxi/FHV,16531
2025-01-27,Queensboro Bridge,"1 - Cars, Pickups and Vans",15900
2025-01-27,Queensboro Bridge,2 - Single-Unit Trucks,2670
2025-01-27,Queensboro Bridge,3 - Multi-Unit Trucks,299
2025-01-27,Queensboro Bridge,4 - Buses,380
2025-01-27,Queensboro Bridge,5 - Motorcycles,97
2025-01-27,Queensboro Bridge,TLC Taxi/FHV,14148
2025-01-27,West 60th St,"1 - Cars, Pickups and Vans",12818
2025-01-27,West 60th St,2 - Single-Unit Trucks,2464
2025-01-27,West 60th St,3 - Multi-Unit Trucks,254
2025-01-27,West 60th St,4 - Buses,1186
2025-01-27,West 60th St,5 - Motorcycles,330
2025-01-27,West 60th St,TLC Taxi/FHV,20465
2025-01-27,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",29616
2025-01-27,West Side Highway at 60th St,2 - Single-Unit Trucks,446
2025-01-27,West Side Highway at 60th St,3 - Multi-Unit Trucks,12
2025-01-27,West Side Highway at 60th St,4 - Buses,626
2025-01-27,West Side Highway at 60th St,5 - Motorcycles,52
2025-01-27,West Side Highway at 60th St,TLC Taxi/FHV,9384
2025-01-27,Williamsburg Bridge,"1 - Cars, Pickups and Vans",20718
2025-01-27,Williamsburg Bridge,2 - Single-Unit Trucks,2331
2025-01-27,Williamsburg Bridge,3 - Multi-Unit Trucks,220
2025-01-27,Williamsburg Bridge,4 - Buses,241
2025-01-27,Williamsburg Bridge,5 - Motorcycles,73
2025-01-27,Williamsburg Bridge,TLC Taxi/FHV,10699
2025-01-28,Brooklyn Bridge,"1 - Cars, Pickups and Vans",18620
2025-01-28,Brooklyn Bridge,2 - Single-Unit Trucks,318
2025-01-28,Brooklyn Bridge,3 - Multi-Unit Trucks,5
2025-01-28,Brooklyn Bridge,4 - Buses,116
2025-01-28,Brooklyn Bridge,5 - Motorcycles,57
2025-01-28,Brooklyn Bridge,TLC Taxi/FHV,11417
2025-01-28,East 60th St,"1 - Cars, Pickups and Vans",30773
2025-01-28,East 60th St,2 - Single-Unit Trucks,4374
2025-01-28,East 60th St,3 - Multi-Unit Trucks,447
2025-01-28,East 60th St,4 - Buses,2266
2025-01-28,East 60th St,5 - Motorcycles,605
2025-01-28,East 60th St,TLC Taxi/FHV,41065
2025-01-28,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",33141
2025-01-28,FDR Drive at 60th St,2 - Single-Unit Trucks,646
2025-01-28,FDR Drive at 60th St,3 - Multi-Unit Trucks,8
2025-01-28,FDR Drive at 60th St,4 - Buses,678
2025-01-28,FDR Drive at 60th St,5 - Motorcycles,137
2025-01-28,FDR Drive at 60th St,TLC Taxi/FHV,17769
2025-01-28,Holland Tunnel,"1 - Cars, Pickups and Vans",27039
2025-01-28,Holland Tunnel,2 - Single-Unit Trucks,1743
2025-01-28,Holland Tunnel,3 - Multi-Unit Trucks,182
2025-01-28,Holland Tunnel,4 - Buses,103
2025-01-28,Holland Tunnel,5 - Motorcycles,17
2025-01-28,Holland Tunnel,TLC Taxi/FHV,8611
2025-01-28,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",14535
2025-01-28,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,838
2025-01-28,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,37
2025-01-28,Hugh L. Carey Tunnel,4 - Buses,1496
2025-01-28,Hugh L. Carey Tunnel,5 - Motorcycles,28
2025-01-28,Hugh L. Carey Tunnel,TLC Taxi/FHV,4400
2025-01-28,Lincoln Tunnel,"1 - Cars, Pickups and Vans",31230
2025-01-28,Lincoln Tunnel,2 - Single-Unit Trucks,3659
2025-01-28,Lincoln Tunnel,3 - Multi-Unit Trucks,680
2025-01-28,Lincoln Tunnel,4 - Buses,1872
2025-01-28,Lincoln Tunnel,5 - Motorcycles,139
2025-01-28,Lincoln Tunnel,TLC Taxi/FHV,6391
2025-01-28,Manhattan Bridge,"1 - Cars, Pickups and Vans",16022
2025-01-28,Manhattan Bridge,2 - Single-Unit Trucks,2230
2025-01-28,Manhattan Bridge,3 - Multi-Unit Trucks,327
2025-01-28,Manhattan Bridge,4 - Buses,532
2025-01-28,Manhattan Bridge,5 - Motorcycles,74
2025-01-28,Manhattan Bridge,TLC Taxi/FHV,8824
2025-01-28,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",22105
2025-01-28,Queens Midtown Tunnel,2 - Single-Unit Trucks,2547
2025-01-28,Queens Midtown Tunnel,3 - Multi-Unit Trucks,127
2025-01-28,Queens Midtown Tunnel,4 - Buses,1091
2025-01-28,Queens Midtown Tunnel,5 - Motorcycles,32
2025-01-28,Queens Midtown Tunnel,TLC Taxi/FHV,14972
2025-01-28,Queensboro Bridge,"1 - Cars, Pickups and Vans",14319
2025-01-28,Queensboro Bridge,2 - Single-Unit Trucks,2210
2025-01-28,Queensboro Bridge,3 - Multi-Unit Trucks,189
2025-01-28,Queensboro Bridge,4 - Buses,369
2025-01-28,Queensboro Bridge,5 - Motorcycles,89
2025-01-28,Queensboro Bridge,TLC Taxi/FHV,13780
2025-01-28,West 60th St,"1 - Cars, Pickups and Vans",13772
2025-01-28,West 60th St,2 - Single-Unit Trucks,2736
2025-01-28,West 60th St,3 - Multi-Unit Trucks,220
2025-01-28,West 60th St,4 - Buses,1185
2025-01-28,West 60th St,5 - Motorcycles,316
2025-01-28,West 60th St,TLC Taxi/FHV,22706
2025-01-28,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",32025
2025-01-28,West Side Highway at 60th St,2 - Single-Unit Trucks,496
2025-01-28,West Side Highway at 60th St,3 - Multi-Unit Trucks,7
2025-01-28,West Side Highway at 60th St,4 - Buses,693
2025-01-28,West Side Highway at 60th St,5 - Motorcycles,45
2025-01-28,West Side Highway at 60th St,TLC Taxi/FHV,10293
2025-01-28,Williamsburg Bridge,"1 - Cars, Pickups and Vans",23520
2025-01-28,Williamsburg Bridge,2 - Single-Unit Trucks,2308
2025-01-28,Williamsburg Bridge,3 - Multi-Unit Trucks,211
2025-01-28,Williamsburg Bridge,4 - Buses,252
2025-01-28,Williamsburg Bridge,5 - Motorcycles,62
2025-01-28,Williamsburg Bridge,TLC Taxi/FHV,12743
2025-01-29,Brooklyn Bridge,"1 - Cars, Pickups and Vans",18340
2025-01-29,Brooklyn Bridge,2 - Single-Unit Trucks,310
2025-01-29,Brooklyn Bridge,3 - Multi-Unit Trucks,3
2025-01-29,Brooklyn Bridge,4 - Buses,29
2025-01-29,Brooklyn Bridge,5 - Motorcycles,58
2025-01-29,Brooklyn Bridge,TLC Taxi/FHV,12286
2025-01-29,East 60th St,"1 - Cars, Pickups and Vans",31956
2025-01-29,East 60th St,2 - Single-Unit Trucks,4281
2025-01-29,East 60th St,3 - Multi-Unit Trucks,339
2025-01-29,East 60th St,4 - Buses,2028
2025-01-29,East 60th St,5 - Motorcycles,648
2025-01-29,East 60th St,TLC Taxi/FHV,43082
2025-01-29,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",31198
2025-01-29,FDR Drive at 60th St,2 - Single-Unit Trucks,555
2025-01-29,FDR Drive at 60th St,3 - Multi-Unit Trucks,3
2025-01-29,FDR Drive at 60th St,4 - Buses,152
2025-01-29,FDR Drive at 60th St,5 - Motorcycles,114
2025-01-29,FDR Drive at 60th St,TLC Taxi/FHV,17073
2025-01-29,Holland Tunnel,"1 - Cars, Pickups and Vans",26640
2025-01-29,Holland Tunnel,2 - Single-Unit Trucks,1650
2025-01-29,Holland Tunnel,3 - Multi-Unit Trucks,155
2025-01-29,Holland Tunnel,4 - Buses,124
2025-01-29,Holland Tunnel,5 - Motorcycles,26
2025-01-29,Holland Tunnel,TLC Taxi/FHV,9413
2025-01-29,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",14747
2025-01-29,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,796
2025-01-29,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,38
2025-01-29,Hugh L. Carey Tunnel,4 - Buses,1371
2025-01-29,Hugh L. Carey Tunnel,5 - Motorcycles,25
2025-01-29,Hugh L. Carey Tunnel,TLC Taxi/FHV,4336
2025-01-29,Lincoln Tunnel,"1 - Cars, Pickups and Vans",31406
2025-01-29,Lincoln Tunnel,2 - Single-Unit Trucks,3559
2025-01-29,Lincoln Tunnel,3 - Multi-Unit Trucks,688
2025-01-29,Lincoln Tunnel,4 - Buses,1793
2025-01-29,Lincoln Tunnel,5 - Motorcycles,121
2025-01-29,Lincoln Tunnel,TLC Taxi/FHV,6928
2025-01-29,Manhattan Bridge,"1 - Cars, Pickups and Vans",15475
2025-01-29,Manhattan Bridge,2 - Single-Unit Trucks,2098
2025-01-29,Manhattan Bridge,3 - Multi-Unit Trucks,350
2025-01-29,Manhattan Bridge,4 - Buses,292
2025-01-29,Manhattan Bridge,5 - Motorcycles,61
2025-01-29,Manhattan Bridge,TLC Taxi/FHV,9259
2025-01-29,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",23224
2025-01-29,Queens Midtown Tunnel,2 - Single-Unit Trucks,2486
2025-01-29,Queens Midtown Tunnel,3 - Multi-Unit Trucks,114
2025-01-29,Queens Midtown Tunnel,4 - Buses,988
2025-01-29,Queens Midtown Tunnel,5 - Motorcycles,31
2025-01-29,Queens Midtown Tunnel,TLC Taxi/FHV,15556
2025-01-29,Queensboro Bridge,"1 - Cars, Pickups and Vans",16595
2025-01-29,Queensboro Bridge,2 - Single-Unit Trucks,2684
2025-01-29,Queensboro Bridge,3 - Multi-Unit Trucks,293
2025-01-29,Queensboro Bridge,4 - Buses,340
2025-01-29,Queensboro Bridge,5 - Motorcycles,150
2025-01-29,Queensboro Bridge,TLC Taxi/FHV,15612
2025-01-29,West 60th St,"1 - Cars, Pickups and Vans",13751
2025-01-29,West 60th St,2 - Single-Unit Trucks,2505
2025-01-29,West 60th St,3 - Multi-Unit Trucks,251
2025-01-29,West 60th St,4 - Buses,919
2025-01-29,West 60th St,5 - Motorcycles,353
2025-01-29,West 60th St,TLC Taxi/FHV,23959
2025-01-29,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",33250
2025-01-29,West Side Highway at 60th St,2 - Single-Unit Trucks,495
2025-01-29,West Side Highway at 60th St,3 - Multi-Unit Trucks,8
2025-01-29,West Side Highway at 60th St,4 - Buses,272
2025-01-29,West Side Highway at 60th St,5 - Motorcycles,63
2025-01-29,West Side Highway at 60th St,TLC Taxi/FHV,11159
2025-01-29,Williamsburg Bridge,"1 - Cars, Pickups and Vans",23850
2025-01-29,Williamsburg Bridge,2 - Single-Unit Trucks,2033
2025-01-29,Williamsburg Bridge,3 - Multi-Unit Trucks,208
2025-01-29,Williamsburg Bridge,4 - Buses,148
2025-01-29,Williamsburg Bridge,5 - Motorcycles,100
2025-01-29,Williamsburg Bridge,TLC Taxi/FHV,13902
2025-01-30,Brooklyn Bridge,"1 - Cars, Pickups and Vans",18009
2025-01-30,Brooklyn Bridge,2 - Single-Unit Trucks,318
2025-01-30,Brooklyn Bridge,3 - Multi-Unit Trucks,1
2025-01-30,Brooklyn Bridge,4 - Buses,113
2025-01-30,Brooklyn Bridge,5 - Motorcycles,57
2025-01-30,Brooklyn Bridge,TLC Taxi/FHV,12395
2025-01-30,East 60th St,"1 - Cars, Pickups and Vans",31512
2025-01-30,East 60th St,2 - Single-Unit Trucks,4288
2025-01-30,East 60th St,3 - Multi-Unit Trucks,380
2025-01-30,East 60th St,4 - Buses,2286
2025-01-30,East 60th St,5 - Motorcycles,643
2025-01-30,East 60th St,TLC Taxi/FHV,43160
2025-01-30,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",34256
2025-01-30,FDR Drive at 60th St,2 - Single-Unit Trucks,644
2025-01-30,FDR Drive at 60th St,3 - Multi-Unit Trucks,7
2025-01-30,FDR Drive at 60th St,4 - Buses,687
2025-01-30,FDR Drive at 60th St,5 - Motorcycles,115
2025-01-30,FDR Drive at 60th St,TLC Taxi/FHV,20049
2025-01-30,Holland Tunnel,"1 - Cars, Pickups and Vans",28017
2025-01-30,Holland Tunnel,2 - Single-Unit Trucks,1808
2025-01-30,Holland Tunnel,3 - Multi-Unit Trucks,176
2025-01-30,Holland Tunnel,4 - Buses,133
2025-01-30,Holland Tunnel,5 - Motorcycles,12
2025-01-30,Holland Tunnel,TLC Taxi/FHV,10744
2025-01-30,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",15504
2025-01-30,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,856
2025-01-30,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,39
2025-01-30,Hugh L. Carey Tunnel,4 - Buses,1528
2025-01-30,Hugh L. Carey Tunnel,5 - Motorcycles,31
2025-01-30,Hugh L. Carey Tunnel,TLC Taxi/FHV,5111
2025-01-30,Lincoln Tunnel,"1 - Cars, Pickups and Vans",32656
2025-01-30,Lincoln Tunnel,2 - Single-Unit Trucks,3654
2025-01-30,Lincoln Tunnel,3 - Multi-Unit Trucks,746
2025-01-30,Lincoln Tunnel,4 - Buses,1771
2025-01-30,Lincoln Tunnel,5 - Motorcycles,137
2025-01-30,Lincoln Tunnel,TLC Taxi/FHV,7719
2025-01-30,Manhattan Bridge,"1 - Cars, Pickups and Vans",16428
2025-01-30,Manhattan Bridge,2 - Single-Unit Trucks,2279
2025-01-30,Manhattan Bridge,3 - Multi-Unit Trucks,375
2025-01-30,Manhattan Bridge,4 - Buses,570
2025-01-30,Manhattan Bridge,5 - Motorcycles,87
2025-01-30,Manhattan Bridge,TLC Taxi/FHV,10430
2025-01-30,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",23944
2025-01-30,Queens Midtown Tunnel,2 - Single-Unit Trucks,2688
2025-01-30,Queens Midtown Tunnel,3 - Multi-Unit Trucks,110
2025-01-30,Queens Midtown Tunnel,4 - Buses,1077
2025-01-30,Queens Midtown Tunnel,5 - Motorcycles,36
2025-01-30,Queens Midtown Tunnel,TLC Taxi/FHV,15413
2025-01-30,Queensboro Bridge,"1 - Cars, Pickups and Vans",18007
2025-01-30,Queensboro Bridge,2 - Single-Unit Trucks,2799
2025-01-30,Queensboro Bridge,3 - Multi-Unit Trucks,305
2025-01-30,Queensboro Bridge,4 - Buses,430
2025-01-30,Queensboro Bridge,5 - Motorcycles,121
2025-01-30,Queensboro Bridge,TLC Taxi/FHV,17671
2025-01-30,West 60th St,"1 - Cars, Pickups and Vans",14244
2025-01-30,West 60th St,2 - Single-Unit Trucks,2675
2025-01-30,West 60th St,3 - Multi-Unit Trucks,220
2025-01-30,West 60th St,4 - Buses,1145
2025-01-30,West 60th St,5 - Motorcycles,321
2025-01-30,West 60th St,TLC Taxi/FHV,23970
2025-01-30,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",33399
2025-01-30,West Side Highway at 60th St,2 - Single-Unit Trucks,506
2025-01-30,West Side Highway at 60th St,3 - Multi-Unit Trucks,6
2025-01-30,West Side Highway at 60th St,4 - Buses,751
2025-01-30,West Side Highway at 60th St,5 - Motorcycles,60
2025-01-30,West Side Highway at 60th St,TLC Taxi/FHV,11784
2025-01-30,Williamsburg Bridge,"1 - Cars, Pickups and Vans",23157
2025-01-30,Williamsburg Bridge,2 - Single-Unit Trucks,2356
2025-01-30,Williamsburg Bridge,3 - Multi-Unit Trucks,222
2025-01-30,Williamsburg Bridge,4 - Buses,282
2025-01-30,Williamsburg Bridge,5 - Motorcycles,63
2025-01-30,Williamsburg Bridge,TLC Taxi/FHV,15195
2025-01-31,Brooklyn Bridge,"1 - Cars, Pickups and Vans",18010
2025-01-31,Brooklyn Bridge,2 - Single-Unit Trucks,349
2025-01-31,Brooklyn Bridge,3 - Multi-Unit Trucks,6
2025-01-31,Brooklyn Bridge,4 - Buses,98
2025-01-31,Brooklyn Bridge,5 - Motorcycles,43
2025-01-31,Brooklyn Bridge,TLC Taxi/FHV,11372
2025-01-31,East 60th St,"1 - Cars, Pickups and Vans",31188
2025-01-31,East 60th St,2 - Single-Unit Trucks,4315
2025-01-31,East 60th St,3 - Multi-Unit Trucks,372
2025-01-31,East 60th St,4 - Buses,2200
2025-01-31,East 60th St,5 - Motorcycles,656
2025-01-31,East 60th St,TLC Taxi/FHV,40416
2025-01-31,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",33559
2025-01-31,FDR Drive at 60th St,2 - Single-Unit Trucks,645
2025-01-31,FDR Drive at 60th St,3 - Multi-Unit Trucks,15
2025-01-31,FDR Drive at 60th St,4 - Buses,639
2025-01-31,FDR Drive at 60th St,5 - Motorcycles,104
2025-01-31,FDR Drive at 60th St,TLC Taxi/FHV,20026
2025-01-31,Holland Tunnel,"1 - Cars, Pickups and Vans",27760
2025-01-31,Holland Tunnel,2 - Single-Unit Trucks,1739
2025-01-31,Holland Tunnel,3 - Multi-Unit Trucks,190
2025-01-31,Holland Tunnel,4 - Buses,121
2025-01-31,Holland Tunnel,5 - Motorcycles,19
2025-01-31,Holland Tunnel,TLC Taxi/FHV,9775
2025-01-31,Hugh L. Carey Tunnel,"1 - Cars, Pickups and Vans",14593
2025-01-31,Hugh L. Carey Tunnel,2 - Single-Unit Trucks,840
2025-01-31,Hugh L. Carey Tunnel,3 - Multi-Unit Trucks,23
2025-01-31,Hugh L. Carey Tunnel,4 - Buses,1431
2025-01-31,Hugh L. Carey Tunnel,5 - Motorcycles,15
2025-01-31,Hugh L. Carey Tunnel,TLC Taxi/FHV,4879
2025-01-31,Lincoln Tunnel,"1 - Cars, Pickups and Vans",30860
2025-01-31,Lincoln Tunnel,2 - Single-Unit Trucks,3732
2025-01-31,Lincoln Tunnel,3 - Multi-Unit Trucks,733
2025-01-31,Lincoln Tunnel,4 - Buses,1768
2025-01-31,Lincoln Tunnel,5 - Motorcycles,112
2025-01-31,Lincoln Tunnel,TLC Taxi/FHV,6974
2025-01-31,Manhattan Bridge,"1 - Cars, Pickups and Vans",16043
2025-01-31,Manhattan Bridge,2 - Single-Unit Trucks,2204
2025-01-31,Manhattan Bridge,3 - Multi-Unit Trucks,335
2025-01-31,Manhattan Bridge,4 - Buses,522
2025-01-31,Manhattan Bridge,5 - Motorcycles,64
2025-01-31,Manhattan Bridge,TLC Taxi/FHV,10230
2025-01-31,Queens Midtown Tunnel,"1 - Cars, Pickups and Vans",24056
2025-01-31,Queens Midtown Tunnel,2 - Single-Unit Trucks,2461
2025-01-31,Queens Midtown Tunnel,3 - Multi-Unit Trucks,113
2025-01-31,Queens Midtown Tunnel,4 - Buses,1024
2025-01-31,Queens Midtown Tunnel,5 - Motorcycles,22
2025-01-31,Queens Midtown Tunnel,TLC Taxi/FHV,16945
2025-01-31,Queensboro Bridge,"1 - Cars, Pickups and Vans",17264
